date,max_value_column,count,latitude,longitude,genus
2024-07-02,Katodinium_or_Torodinium,717,41.362,-70.5226,Katodinium
2024-07-02,Kryptoperidinium_triquetrum,832,41.362,-70.5226,Kryptoperidinium
2024-07-02,Lauderia_annulata,35,41.362,-70.5226,Lauderia
2024-07-02,Leegaardiella_ovalis,1,41.362,-70.5226,Leegaardiella
2024-07-02,Leptocylindrus,12742,41.362,-70.5226,Leptocylindrus
2024-07-02,Leptocylindrus_mediterraneus,9,41.362,-70.5226,Leptocylindrus
2024-07-02,Licmophora,79,41.362,-70.5226,Licmophora
2024-07-02,Mesodinium,198,41.362,-70.5226,Mesodinium
2024-07-02,Nanoneis,147,41.362,-70.5226,Nanoneis
2024-07-02,Ophiaster,52,41.362,-70.5226,Ophiaster
2024-07-02,Oxytoxum,451,41.362,-70.5226,Oxytoxum
2024-07-02,Paralia_sulcata,16,41.362,-70.5226,Paralia
2024-07-02,Paratontonia_gracillima,2,41.362,-70.5226,Paratontonia
2024-07-02,Parvicorbicula_socialis,1,41.362,-70.5226,Parvicorbicula
2024-07-02,Pelagostrobilidium,3,41.362,-70.5226,Pelagostrobilidium
2024-07-02,Phaeocystis,97,41.362,-70.5226,Phaeocystis
2024-07-02,Phaeocystis_debris,60,41.362,-70.5226,Phaeocystis
2024-07-02,Pleuronema,17,41.362,-70.5226,Pleuronema
2024-07-02,Pleurosigma,41,41.362,-70.5226,Pleurosigma
2024-07-02,Prorocentrum,73,41.362,-70.5226,Prorocentrum
2024-07-02,Prorocentrum_dentatum,98,41.362,-70.5226,Prorocentrum
2024-07-02,Prorocentrum_micans,121,41.362,-70.5226,Prorocentrum
2024-07-02,Prorocentrum_triestinum,145,41.362,-70.5226,Prorocentrum
2024-07-02,Proterythropsis,19,41.362,-70.5226,Proterythropsis
2024-07-02,Protoperidinium,186,41.362,-70.5226,Protoperidinium
2024-07-02,Pseudo-nitzschia,1024,41.362,-70.5226,Pseudo-nitzschia
2024-07-02,Pseudochattonella_farcimen,81,41.362,-70.5226,Pseudochattonella
2024-07-02,Pyramimonas,14082,41.362,-70.5226,Pyramimonas
2024-07-02,Pyramimonas_longicauda,57,41.362,-70.5226,Pyramimonas
2024-07-02,Pyramimonas_morphotype1,64,41.362,-70.5226,Pyramimonas
2024-07-02,Rhabdolithes,410,41.362,-70.5226,Rhabdolithes
2024-07-02,Rhizosolenia,2304,41.362,-70.5226,Rhizosolenia
2024-07-02,Scrippsiella,151,41.362,-70.5226,Scrippsiella
2024-07-02,Skeletonema,1542,41.362,-70.5226,Skeletonema
2024-07-02,Stenosemella_pacifica,4,41.362,-70.5226,Stenosemella
2024-07-02,Stephanopyxis,1,41.362,-70.5226,Stephanopyxis
2024-07-02,Strombidium_conicum,2,41.362,-70.5226,Strombidium
2024-07-02,Strombidium_inclinatum,2,41.362,-70.5226,Strombidium
2024-07-02,Strombidium_morphotype1,26,41.362,-70.5226,Strombidium
2024-07-02,Strombidium_morphotype2,9,41.362,-70.5226,Strombidium
2024-07-02,Strombidium_tintinnodes,75,41.362,-70.5226,Strombidium
2024-07-02,Strombidium_wulffi,1,41.362,-70.5226,Strombidium
2024-07-02,Syracosphaera_pulchra,1730,41.362,-70.5226,Syracosphaera
2024-07-02,Thalassionema,804,41.362,-70.5226,Thalassionema
2024-07-02,Thalassiosira,2471,41.362,-70.5226,Thalassiosira
2024-07-02,Thalassiosira_TAG_external_detritus,254,41.362,-70.5226,Thalassiosira
2024-07-02,Thalassiosira_sp_aff_mala,1448,41.362,-70.5226,Thalassiosira
2024-07-02,Tintinnina,89,41.362,-70.5226,Tintinnina
2024-07-02,Tintinnopsis,138,41.362,-70.5226,Tintinnopsis
2024-07-02,Tontonia_appendiculariformis,44,41.362,-70.5226,Tontonia
2024-07-02,Trichodesmium,12,41.362,-70.5226,Trichodesmium
2024-07-02,Tripos_fusus,6,41.362,-70.5226,Tripos
2024-07-02,Tripos_lineatus,409,41.362,-70.5226,Tripos
2024-07-02,Vicicitus_globosus,2,41.362,-70.5226,Vicicitus
2024-07-02,Warnowia,33,41.362,-70.5226,Warnowia
2024-07-02,bead,1769,41.362,-70.5226,bead
2024-07-02,camera_spot,74,41.362,-70.5226,camera
2024-07-02,coccolithophorid,10048,41.362,-70.5226,coccolithophorid
2024-07-02,detritus,59883,41.362,-70.5226,detritus
2024-07-02,detritus_transparent,13346,41.362,-70.5226,detritus
2024-07-02,fecal_pellet,173,41.362,-70.5226,fecal
2024-07-02,fiber,22870,41.362,-70.5226,fiber
2024-07-02,fiber_TAG_external_detritus,2310,41.362,-70.5226,fiber
2024-07-02,flagellate,22030,41.362,-70.5226,flagellate
2024-07-02,flagellate_morphotype1,1891,41.362,-70.5226,flagellate
2024-07-02,flagellate_morphotype3,906,41.362,-70.5226,flagellate
2024-07-02,nanoplankton_mix,215262,41.362,-70.5226,nanoplankton
2024-07-02,pennate,6409,41.362,-70.5226,pennate
2024-07-02,pennate_Pseudo-nitzschia,145,41.362,-70.5226,pennate
2024-07-02,pennate_Thalassionema,421,41.362,-70.5226,pennate
2024-07-02,pennate_morphotype1,2,41.362,-70.5226,pennate
2024-07-02,pollen,1,41.362,-70.5226,pollen
2024-07-02,unknown2,30,41.362,-70.5226,unknown2
2024-07-02,zooplankton,2,41.362,-70.5226,zooplankton
2024-07-03,Acanthoica_quattrospina,3314,41.362,-70.5226,Acanthoica
2024-07-03,Alexandrium_catenella,16,41.362,-70.5226,Alexandrium
2024-07-03,Amoeba,2285,41.362,-70.5226,Amoeba
2024-07-03,Amphidinium,215,41.362,-70.5226,Amphidinium
2024-07-03,Amylax,8,41.362,-70.5226,Amylax
2024-07-03,Apedinella,2057,41.362,-70.5226,Apedinella
2024-07-03,Asterionellopsis_glacialis,685,41.362,-70.5226,Asterionellopsis
2024-07-03,Bacillaria,2,41.362,-70.5226,Bacillaria
2024-07-03,Bacillariophyceae,6554,41.362,-70.5226,Bacillariophyceae
2024-07-03,Bacillariophyceae_morphotype1,128,41.362,-70.5226,Bacillariophyceae
2024-07-03,Bacteriastrum,1,41.362,-70.5226,Bacteriastrum
2024-07-03,Balanion,448,41.362,-70.5226,Balanion
2024-07-03,Biddulphia,1,41.362,-70.5226,Biddulphia
2024-07-03,Calciopappus,938,41.362,-70.5226,Calciopappus
2024-07-03,Calciosolenia_brasiliensis,1,41.362,-70.5226,Calciosolenia
2024-07-03,Cerataulina_pelagica,11542,41.362,-70.5226,Cerataulina
2024-07-03,Chaetoceros,4686,41.362,-70.5226,Chaetoceros
2024-07-03,Chaetoceros_danicus,28,41.362,-70.5226,Chaetoceros
2024-07-03,Chaetoceros_didymus,61,41.362,-70.5226,Chaetoceros
2024-07-03,Chaetoceros_similis,67,41.362,-70.5226,Chaetoceros
2024-07-03,Chaetoceros_socialis,174,41.362,-70.5226,Chaetoceros
2024-07-03,Chaetoceros_subtilis,252,41.362,-70.5226,Chaetoceros
2024-07-03,Chaetoceros_tenuissimus,88,41.362,-70.5226,Chaetoceros
2024-07-03,Chaetoceros_throndsenii,11,41.362,-70.5226,Chaetoceros
2024-07-03,Chrysochromulina,1548,41.362,-70.5226,Chrysochromulina
2024-07-03,Chrysochromulina_lanceolata,50,41.362,-70.5226,Chrysochromulina
2024-07-03,Ciliophora,520,41.362,-70.5226,Ciliophora
2024-07-03,Copepod_nauplii,1,41.362,-70.5226,Copepod
2024-07-03,Corethron_hystrix,4,41.362,-70.5226,Corethron
2024-07-03,Corymbellus,78,41.362,-70.5226,Corymbellus
2024-07-03,Coscinodiscus,24,41.362,-70.5226,Coscinodiscus
2024-07-03,Cryptophyta,19011,41.362,-70.5226,Cryptophyta
2024-07-03,Cylindrotheca,2422,41.362,-70.5226,Cylindrotheca
2024-07-03,Cylindrotheca_morphotype1,730,41.362,-70.5226,Cylindrotheca
2024-07-03,Dactyliosolen_blavyanus,1924,41.362,-70.5226,Dactyliosolen
2024-07-03,Dactyliosolen_fragilissimus,4661,41.362,-70.5226,Dactyliosolen
2024-07-03,Delphineis,10,41.362,-70.5226,Delphineis
2024-07-03,Dictyocha,14,41.362,-70.5226,Dictyocha
2024-07-03,Dinobryon,196,41.362,-70.5226,Dinobryon
2024-07-03,Dinophyceae,12686,41.362,-70.5226,Dinophyceae
2024-07-03,Dinophysis_acuminata,38,41.362,-70.5226,Dinophysis
2024-07-03,Dinophysis_norvegica,11,41.362,-70.5226,Dinophysis
2024-07-03,Ditylum_brightwellii,2,41.362,-70.5226,Ditylum
2024-07-03,Emiliania_huxleyi,67,41.362,-70.5226,Emiliania
2024-07-03,Ephemera,30,41.362,-70.5226,Ephemera
2024-07-03,Eucampia,63,41.362,-70.5226,Eucampia
2024-07-03,Eucampia_morphytype1,44,41.362,-70.5226,Eucampia
2024-07-03,Euglena,6189,41.362,-70.5226,Euglena
2024-07-03,Eutintinnus,1,41.362,-70.5226,Eutintinnus
2024-07-03,Favella,38,41.362,-70.5226,Favella
2024-07-03,Gonyaulax,1,41.362,-70.5226,Gonyaulax
2024-07-03,Guinardia_delicatula,1510,41.362,-70.5226,Guinardia
2024-07-03,Guinardia_delicatula_TAG_internal_parasite,5,41.362,-70.5226,Guinardia
2024-07-03,Guinardia_flaccida,1136,41.362,-70.5226,Guinardia
2024-07-03,Guinardia_striata,392,41.362,-70.5226,Guinardia
2024-07-03,Gyrodinium,38,41.362,-70.5226,Gyrodinium
2024-07-03,Hemiaulus,1,41.362,-70.5226,Hemiaulus
2024-07-03,Hemiaulus_membranaceus,1,41.362,-70.5226,Hemiaulus
2024-07-03,Heterocapsa_rotundata,9947,41.362,-70.5226,Heterocapsa
2024-07-03,Karenia,3028,41.362,-70.5226,Karenia
2024-07-03,Katodinium_or_Torodinium,703,41.362,-70.5226,Katodinium
2024-07-03,Kryptoperidinium_triquetrum,559,41.362,-70.5226,Kryptoperidinium
2024-07-03,Laboea_strobila,1,41.362,-70.5226,Laboea
2024-07-03,Lauderia_annulata,48,41.362,-70.5226,Lauderia
2024-07-03,Leegaardiella_ovalis,2,41.362,-70.5226,Leegaardiella
2024-07-03,Leptocylindrus,9344,41.362,-70.5226,Leptocylindrus
2024-07-03,Leptocylindrus_mediterraneus,7,41.362,-70.5226,Leptocylindrus
2024-07-03,Licmophora,74,41.362,-70.5226,Licmophora
2024-07-03,Margalefidinium,2,41.362,-70.5226,Margalefidinium
2024-07-03,Mesodinium,164,41.362,-70.5226,Mesodinium
2024-07-03,Nanoneis,99,41.362,-70.5226,Nanoneis
2024-07-03,Ophiaster,43,41.362,-70.5226,Ophiaster
2024-07-03,Oxytoxum,470,41.362,-70.5226,Oxytoxum
2024-07-03,Paralia_sulcata,9,41.362,-70.5226,Paralia
2024-07-03,Parvicorbicula_socialis,2,41.362,-70.5226,Parvicorbicula
2024-07-03,Pelagostrobilidium,6,41.362,-70.5226,Pelagostrobilidium
2024-07-03,Phaeocystis,114,41.362,-70.5226,Phaeocystis
2024-07-03,Phaeocystis_debris,102,41.362,-70.5226,Phaeocystis
2024-07-03,Pleuronema,16,41.362,-70.5226,Pleuronema
2024-07-03,Pleurosigma,34,41.362,-70.5226,Pleurosigma
2024-07-03,Prorocentrum,58,41.362,-70.5226,Prorocentrum
2024-07-03,Prorocentrum_dentatum,142,41.362,-70.5226,Prorocentrum
2024-07-03,Prorocentrum_micans,117,41.362,-70.5226,Prorocentrum
2024-07-03,Prorocentrum_triestinum,100,41.362,-70.5226,Prorocentrum
2024-07-03,Proterythropsis,22,41.362,-70.5226,Proterythropsis
2024-07-03,Protoperidinium,150,41.362,-70.5226,Protoperidinium
2024-07-03,Pseudo-nitzschia,705,41.362,-70.5226,Pseudo-nitzschia
2024-07-03,Pseudochattonella_farcimen,53,41.362,-70.5226,Pseudochattonella
2024-07-03,Pyramimonas,10190,41.362,-70.5226,Pyramimonas
2024-07-03,Pyramimonas_longicauda,55,41.362,-70.5226,Pyramimonas
2024-07-03,Pyramimonas_morphotype1,46,41.362,-70.5226,Pyramimonas
2024-07-03,Rhabdolithes,436,41.362,-70.5226,Rhabdolithes
2024-07-03,Rhizosolenia,1885,41.362,-70.5226,Rhizosolenia
2024-07-03,Scrippsiella,73,41.362,-70.5226,Scrippsiella
2024-07-03,Skeletonema,1020,41.362,-70.5226,Skeletonema
2024-07-03,Stenosemella_pacifica,5,41.362,-70.5226,Stenosemella
2024-07-03,Stephanopyxis,1,41.362,-70.5226,Stephanopyxis
2024-07-03,Strombidium_conicum,4,41.362,-70.5226,Strombidium
2024-07-03,Strombidium_inclinatum,1,41.362,-70.5226,Strombidium
2024-07-03,Strombidium_morphotype1,27,41.362,-70.5226,Strombidium
2024-07-03,Strombidium_morphotype2,11,41.362,-70.5226,Strombidium
2024-07-03,Strombidium_tintinnodes,71,41.362,-70.5226,Strombidium
2024-07-03,Strombidium_wulffi,10,41.362,-70.5226,Strombidium
2024-07-03,Syracosphaera_pulchra,1777,41.362,-70.5226,Syracosphaera
2024-07-03,Thalassionema,518,41.362,-70.5226,Thalassionema
